Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
StartPage,Edge 18,,,2019-10-25 15:39:00,2019-10-25 15:39:17,"16,926s",INCOMPLETE
,,,,,,,
Test Cases/StartPage/CheckElementsOfPage,Edge 18,,,2019-10-25 15:39:00,2019-10-25 15:39:14,"13,971s",PASSED
"openBrowser(""http://hcc-asset-server.program-ace.net/"")",Edge 18,,,2019-10-25 15:39:01,2019-10-25 15:39:06,"5,461s",PASSED
checkElementsPresents(),Edge 18,,,2019-10-25 15:39:06,2019-10-25 15:39:06,"0,001s",PASSED
"verifyElementPresent(findTestObject(""StartPage/div_XR Expo 2019""), 1)",Edge 18,,,2019-10-25 15:39:06,2019-10-25 15:39:06,"0,429s",PASSED
"verifyElementPresent(findTestObject(""StartPage/LoginButton""), 1)",Edge 18,,,2019-10-25 15:39:06,2019-10-25 15:39:07,"0,259s",PASSED
"verifyElementPresent(findTestObject(""StartPage/RealDigitalSolutions""), 1)",Edge 18,,,2019-10-25 15:39:07,2019-10-25 15:39:07,"0,264s",PASSED
"setViewPortSize(1920, 1080)",Edge 18,,,2019-10-25 15:39:07,2019-10-25 15:39:09,"2,464s",PASSED
checkElementsVisible(),Edge 18,,,2019-10-25 15:39:09,2019-10-25 15:39:09,"0,002s",PASSED
"verifyElementVisible(findTestObject(""StartPage/div_XR Expo 2019""))",Edge 18,,,2019-10-25 15:39:09,2019-10-25 15:39:10,"0,357s",PASSED
"verifyElementVisible(findTestObject(""StartPage/LoginButton""))",Edge 18,,,2019-10-25 15:39:10,2019-10-25 15:39:10,"0,272s",PASSED
"verifyElementVisible(findTestObject(""StartPage/RealDigitalSolutions""))",Edge 18,,,2019-10-25 15:39:10,2019-10-25 15:39:10,"0,302s",PASSED
"setViewPortSize(1024, 750)",Edge 18,,,2019-10-25 15:39:10,2019-10-25 15:39:13,"2,401s",PASSED
checkElementsVisible(),Edge 18,,,2019-10-25 15:39:13,2019-10-25 15:39:13,"0,001s",PASSED
"verifyElementVisible(findTestObject(""StartPage/div_XR Expo 2019""))",Edge 18,,,2019-10-25 15:39:13,2019-10-25 15:39:13,"0,313s",PASSED
"verifyElementVisible(findTestObject(""StartPage/LoginButton""))",Edge 18,,,2019-10-25 15:39:13,2019-10-25 15:39:14,"0,590s",PASSED
"verifyElementVisible(findTestObject(""StartPage/RealDigitalSolutions""))",Edge 18,,,2019-10-25 15:39:14,2019-10-25 15:39:14,"0,615s",PASSED
,,,,,,,
Test Cases/StartPage/GoToTheLogin,Edge 18,,,2019-10-25 15:39:14,2019-10-25 15:39:17,"2,746s",PASSED
"openBrowser(""http://hcc-asset-server.program-ace.net"")",Edge 18,,,2019-10-25 15:39:14,2019-10-25 15:39:17,"2,141s",PASSED
maximizeWindow(),Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,037s",PASSED
"click(findTestObject(""StartPage/LoginButton""))",Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,405s",PASSED
ActualURL = getUrl(),Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,013s",PASSED
"ExpectedURL = ""http://hcc-asset-server.program-ace.net/login""",Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,001s",PASSED
if (ActualURL.compareTo(ExpectedURL) == 0),Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,002s",PASSED
else,Edge 18,,,2019-10-25 15:39:17,2019-10-25 15:39:17,"0,010s",PASSED
